seed;sparsity;method;teacher_f1;sparse_f1;pre_ft_f1;final_f1;final_acc;teacher_params;sparse_nonzero;compact_params;compression;convert_time;finetune_time;total_time;f1_recovery
123;0.8;weight_redistribution;0.9566589615931721;0.9616614483638051;0.3333333333333333;0.9699996666629629;0.97;33666;7042;1822;18.4774972557629;0.0004451274871826172;0.06917381286621094;0.06961894035339355;1.0139451001928355
123;0.8;evomerge;0.9566589615931721;0.9616614483638051;0.963326813655761;0.9616426933500104;0.9616666666666667;33666;7042;19319;1.7426367824421554;3.6571667194366455;0.09859323501586914;3.7557599544525146;1.005209517661904
123;0.9;neuron_removal;0.9566589615931721;0.956643061222221;0.9583137639614152;0.9749993749843746;0.975;33666;3714;7519;4.477457108658066;0.0005083084106445312;0.09035015106201172;0.09085845947265625;1.01917131823096
123;0.9;svd_compression;0.9566589615931721;0.956643061222221;0.619488423324692;0.9666607396870555;0.9666666666666667;33666;3714;33666;1.0;0.001730203628540039;0.10154223442077637;0.1032724380493164;1.010454904511872
123;0.9;knowledge_distill;0.9566589615931721;0.956643061222221;0.9633329259213992;0.9683290225614042;0.9683333333333334;33666;3714;1073;31.375582479030754;0.2973198890686035;0.06929373741149902;0.36661362648010254;1.012198768251538
123;0.9;weight_redistribution;0.9566589615931721;0.956643061222221;0.4842654126712844;0.9666666666666667;0.9666666666666667;33666;3714;982;34.283095723014256;0.0004029273986816406;0.06905817985534668;0.06946110725402832;1.010461100010842
123;0.9;evomerge;0.9566589615931721;0.956643061222221;0.9583072753804461;0.9666633329999668;0.9666666666666667;33666;3714;18257;1.8440050391630607;3.4814200401306152;0.10230588912963867;3.583725929260254;1.010457615313752
123;0.95;neuron_removal;0.9566589615931721;0.3333333333333333;0.3333333333333333;0.9699996666629629;0.97;33666;2050;4346;7.74643350207087;0.0004508495330810547;0.08320999145507812;0.08366084098815918;1.0139451001928355
123;0.95;svd_compression;0.9566589615931721;0.3333333333333333;0.3333333333333333;0.9616537780754086;0.9616666666666667;33666;2050;33666;1.0;0.0017998218536376953;0.10063791275024414;0.10243773460388184;1.0052211045761996
123;0.95;knowledge_distill;0.9566589615931721;0.3333333333333333;0.8589678599647137;0.959983993597439;0.96;33666;2050;982;34.283095723014256;0.2946488857269287;0.06801891326904297;0.3626677989959717;1.0034756712033823
